/* DATA DESCRIPTION:
	TARA_20091011Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 43.658380 * LONGITUDE START: 7.311050 * LATITUDE END: 37.346000 * LONGITUDE END: 10.059000 * DATE/TIME START: 2009-10-11T00:00:00 * DATE/TIME END: 2009-10-16T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091019Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 37.354720 * LONGITUDE START: 9.956080 * LATITUDE END: 40.759100 * LONGITUDE END: 14.212770 * DATE/TIME START: 2009-10-19T00:00:00 * DATE/TIME END: 2009-10-22T00:00:00 * CAMPAIGN: TARA_20091019Z (Bizerte to Naples, Stations: TARA_014) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091025Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 40.760230 * LONGITUDE START: 14.245420 * LATITUDE END: 36.289470 * LONGITUDE END: 14.334320 * DATE/TIME START: 2009-10-25T00:00:00 * DATE/TIME END: 2009-10-29T00:00:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091031Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 35.894720 * LONGITUDE START: 14.593480 * LATITUDE END: 32.920050 * LONGITUDE END: 13.218650 * DATE/TIME START: 2009-10-31T00:00:00 * DATE/TIME END: 2009-11-06T00:00:00 * CAMPAIGN: TARA_20091031Z (Valetta to Tripoli, Stations: TARA_018) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091108Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 32.800000 * LONGITUDE START: 13.100000 * LATITUDE END: 32.800000 * LONGITUDE END: 13.100000 * DATE/TIME START: 2009-11-08T00:00:00 * DATE/TIME END: 2009-11-11T00:00:00 * CAMPAIGN: TARA_20091108Z (Tripoli to Valetta, Stations: TARA_019) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091111Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 36.355050 * LONGITUDE START: 15.455000 * LATITUDE END: 42.287180 * LONGITUDE END: 17.876390 * DATE/TIME START: 2009-11-11T00:00:00 * DATE/TIME END: 2009-11-20T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091122Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 40.101780 * LONGITUDE START: 19.106650 * LATITUDE END: 39.765450 * LONGITUDE END: 17.799600 * DATE/TIME START: 2009-11-22T00:00:00 * DATE/TIME END: 2009-11-26T00:00:00 * CAMPAIGN: TARA_20091122Z (Dubrovnik to Athens, Stations: TARA_025-026) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091128Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 37.590830 * LONGITUDE START: 23.747550 * LATITUDE END: 33.958550 * LONGITUDE END: 34.854620 * DATE/TIME START: 2009-11-28T00:00:00 * DATE/TIME END: 2009-12-10T00:00:00 * CAMPAIGN: TARA_20091128Z (Athens to Beyrouth, Stations: TARA_027-028) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091214Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 33.931080 * LONGITUDE START: 35.359730 * LATITUDE END: 31.721520 * LONGITUDE END: 31.555400 * DATE/TIME START: 2009-12-14T00:00:00 * DATE/TIME END: 2009-12-18T00:00:00 * CAMPAIGN: TARA_20091214Z (Beyrouth to Alexandria, Stations: TARA_029-030) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100108Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 27.890150 * LONGITUDE START: 34.252720 * LATITUDE END: 22.148470 * LONGITUDE END: 38.192250 * DATE/TIME START: 2010-01-08T00:00:00 * DATE/TIME END: 2010-01-14T00:00:00 * CAMPAIGN: TARA_20100108Z (Sharm El Sheikh to Jeddah, Stations: TARA_031-033) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100118Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 21.433200 * LONGITUDE START: 39.082830 * LATITUDE END: 11.658830 * LONGITUDE END: 43.126480 * DATE/TIME START: 2010-01-18T00:00:00 * DATE/TIME END: 2010-01-25T00:00:00 * CAMPAIGN: TARA_20100118Z (Jeddah to Djibouti, Stations: TARA_034) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
